"district_id","value","year"
"d18974",5.4,2016
"d18975",2.4,2016
"d18987",3.3,2016
"d18988",5.1,2016
"d18976",4.1,2016
"d18955",6.6,2016
"d18965",2.6,2016
"d18968",2.9,2016
"d18956",3.5,2016
"d18991",2.3,2016
"d18989",4.1,2016
"d18977",3.2,2016
"d18943",3.5,2016
"d18949",3,2016
"d18944",7.2,2016
"d18969",3.8,2016
"d18970",3.1,2016
"d18957",6.4,2016
"d18950",3.3,2016
"d18978",3.6,2016
"d18951",4.3,2016
"d18958",5.2,2016
"d18959",5,2016
"d18966",3.4,2016
"d18960",3.8,2016
"d18961",4.6,2016
"d18971",3.9,2016
"d18952",1.7,2016
"d18946",8.3,2016
"d18964",1.1,2016
"d18979",3.8,2016
"d18980",2.7,2016
"d18981",2.2,2016
"d18962",6.2,2016
"d18972",3.7,2016
"d18947",5.5,2016
"d18948",8,2016
"d18982",2.9,2016
"d18973",5.8,2016
"d18953",5.2,2016
"d18954",3.8,2016
"d18983",3.6,2016
"d18984",4.2,2016
"d18985",3.6,2016
"d18990",7.1,2016
"d18967",3.4,2016
"d18986",2.7,2016
